Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2021-08-01 01:00 AM,2021,08,01,01,49.0,45,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-01 02:00 AM,2021,08,01,02,46.0,43,Good,43.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-01 03:00 AM,2021,08,01,03,47.0,44,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-01 04:00 AM,2021,08,01,04,42.0,39,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-01 05:00 AM,2021,08,01,05,42.0,39,Good,-999.0,PPB,1 Hr,Missing
Abu Dhabi,O3,2021-08-01 06:00 AM,2021,08,01,06,42.0,39,Good,-999.0,PPB,1 Hr,Missing
Abu Dhabi,O3,2021-08-04 11:00 PM,2021,08,04,23,54.0,50,Good,59.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 12:00 AM,2021,08,05,00,51.0,47,Good,55.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 01:00 AM,2021,08,05,01,48.0,44,Good,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 02:00 AM,2021,08,05,02,49.0,45,Good,53.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 03:00 AM,2021,08,05,03,42.0,39,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 04:00 AM,2021,08,05,04,47.0,44,Good,50.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 05:00 AM,2021,08,05,05,40.0,37,Good,42.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 06:00 AM,2021,08,05,06,47.0,44,Good,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 07:00 AM,2021,08,05,07,52.0,48,Good,56.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 08:00 AM,2021,08,05,08,51.0,47,Good,55.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2021-08-05 09:00 AM,2021,08,05,09,53.0,49,Good,57.0,PPB,1 Hr,Valid
