Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Abu Dhabi,O3,2019-12-04 10:00 PM,2019,12,04,22,37.0,34,Good,38.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-04 11:00 PM,2019,12,04,23,26.0,24,Good,26.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 12:00 AM,2019,12,05,00,12.0,11,Good,9.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 01:00 AM,2019,12,05,01,14.0,13,Good,11.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 02:00 AM,2019,12,05,02,17.0,16,Good,15.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 03:00 AM,2019,12,05,03,19.0,18,Good,17.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 04:00 AM,2019,12,05,04,15.0,14,Good,13.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 05:00 AM,2019,12,05,05,8.0,7,Good,5.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 06:00 AM,2019,12,05,06,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 07:00 AM,2019,12,05,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 08:00 AM,2019,12,05,08,6.0,6,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 09:00 AM,2019,12,05,09,8.0,7,Good,4.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 10:00 AM,2019,12,05,10,18.0,17,Good,16.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 11:00 AM,2019,12,05,11,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 12:00 PM,2019,12,05,12,35.0,32,Good,36.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 01:00 PM,2019,12,05,13,42.0,39,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 02:00 PM,2019,12,05,14,45.0,42,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 03:00 PM,2019,12,05,15,50.0,46,Good,54.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 04:00 PM,2019,12,05,16,51.0,47,Good,55.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 05:00 PM,2019,12,05,17,48.0,44,Good,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 06:00 PM,2019,12,05,18,45.0,42,Good,48.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 07:00 PM,2019,12,05,19,32.0,30,Good,32.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 08:00 PM,2019,12,05,20,29.0,27,Good,29.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 09:00 PM,2019,12,05,21,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 10:00 PM,2019,12,05,22,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-05 11:00 PM,2019,12,05,23,29.0,27,Good,29.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 12:00 AM,2019,12,06,00,21.0,19,Good,20.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 01:00 AM,2019,12,06,01,10.0,9,Good,7.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 02:00 AM,2019,12,06,02,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 03:00 AM,2019,12,06,03,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 04:00 AM,2019,12,06,04,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 05:00 AM,2019,12,06,05,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 06:00 AM,2019,12,06,06,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 07:00 AM,2019,12,06,07,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 08:00 AM,2019,12,06,08,5.0,5,Good,1.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 09:00 AM,2019,12,06,09,8.0,7,Good,4.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 10:00 AM,2019,12,06,10,23.0,21,Good,22.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 11:00 AM,2019,12,06,11,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 12:00 PM,2019,12,06,12,39.0,36,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 01:00 PM,2019,12,06,13,40.0,37,Good,41.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 02:00 PM,2019,12,06,14,46.0,43,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 03:00 PM,2019,12,06,15,46.0,43,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 04:00 PM,2019,12,06,16,52.0,48,Good,56.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 05:00 PM,2019,12,06,17,57.0,58,Moderate,62.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 06:00 PM,2019,12,06,18,54.0,50,Good,58.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 07:00 PM,2019,12,06,19,51.0,47,Good,54.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 08:00 PM,2019,12,06,20,48.0,44,Good,52.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 09:00 PM,2019,12,06,21,47.0,44,Good,51.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 10:00 PM,2019,12,06,22,46.0,43,Good,49.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-06 11:00 PM,2019,12,06,23,43.0,40,Good,45.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 12:00 AM,2019,12,07,00,35.0,32,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 01:00 AM,2019,12,07,01,25.0,23,Good,24.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 02:00 AM,2019,12,07,02,12.0,11,Good,9.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 03:00 AM,2019,12,07,03,6.0,6,Good,2.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 04:00 AM,2019,12,07,04,23.0,21,Good,22.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 05:00 AM,2019,12,07,05,22.0,20,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 06:00 AM,2019,12,07,06,7.0,6,Good,3.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 07:00 AM,2019,12,07,07,10.0,9,Good,7.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 08:00 AM,2019,12,07,08,7.0,6,Good,3.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 09:00 AM,2019,12,07,09,7.0,6,Good,3.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 10:00 AM,2019,12,07,10,9.0,8,Good,6.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 11:00 AM,2019,12,07,11,15.0,14,Good,12.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 12:00 PM,2019,12,07,12,27.0,25,Good,27.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 01:00 PM,2019,12,07,13,40.0,37,Good,42.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 02:00 PM,2019,12,07,14,42.0,39,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 03:00 PM,2019,12,07,15,37.0,34,Good,38.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 04:00 PM,2019,12,07,16,42.0,39,Good,44.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 05:00 PM,2019,12,07,17,34.0,31,Good,35.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 06:00 PM,2019,12,07,18,31.0,29,Good,31.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 07:00 PM,2019,12,07,19,22.0,20,Good,21.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 08:00 PM,2019,12,07,20,21.0,19,Good,19.0,PPB,1 Hr,Valid
Abu Dhabi,O3,2019-12-07 09:00 PM,2019,12,07,21,29.0,27,Good,28.0,PPB,1 Hr,Valid
